"","condition","chain","gen","round","parent","word","meaning","isSpikyMeaning","increaseIconicity","wordCount","wordCountSameMeaning","inFinalLang","guessedMeaning","correctGuess","correctSpikiness"
"127","Comm","5",1,5,"kemusije","kemu","8","FALSE",0.156175282548298,1,1,FALSE,"4","FALSE","FALSE"
"128","Comm","5",1,6,"faludapu","nezu","5","TRUE",0.159649849188598,1,1,FALSE,"5","TRUE","TRUE"
"129","Comm","5",1,8,"pilu","nerudopu","7","FALSE",0.0394732899208119,1,1,FALSE,"1","FALSE","FALSE"
"130","Comm","5",1,9,"kemusije","kisa","0","TRUE",-0.0741227761171057,1,1,FALSE,"9","FALSE","FALSE"
"131","Comm","5",1,10,"pilu","nepu","4","TRUE",-0.000618251518966773,2,1,FALSE,"10","FALSE","FALSE"
"132","Comm","5",1,12,"romiba","romibaa","9","FALSE",0,2,2,FALSE,"9","TRUE","TRUE"
"133","Comm","5",1,13,"romiba","neporo","1","TRUE",-0.00793999177907212,1,1,FALSE,"10","FALSE","FALSE"
"134","Comm","5",1,15,"nerudopu","nupuu","7","FALSE",-0.0389642601192408,1,1,FALSE,"7","TRUE","TRUE"
"135","Comm","5",1,16,"zisa","zeje","2","TRUE",0.0716345289407174,2,2,FALSE,"2","TRUE","TRUE"
"136","Comm","5",1,18,"faludelu","neruzeje","11","FALSE",-0.243989251944116,5,2,FALSE,"11","TRUE","TRUE"
"137","Comm","5",1,21,"nepu","neruporo","10","FALSE",0.057010623475235,1,1,FALSE,"8","FALSE","TRUE"
"138","Comm","5",1,22,"kipe","romizeje","3","TRUE",-0.0715390189914329,2,2,FALSE,"3","TRUE","TRUE"
"139","Comm","5",1,24,"kemu","neru","8","FALSE",0.159688547668913,2,2,TRUE,"8","TRUE","TRUE"
"140","Comm","5",1,29,"romizeje","robimaa","3","TRUE",-0.202743918391958,1,1,FALSE,"9","FALSE","FALSE"
"141","Comm","5",1,31,"neruzeje","neruzejee","11","FALSE",-0.00135771522020267,2,2,TRUE,"11","TRUE","TRUE"
"142","Comm","5",1,34,"nepu","romiva","4","TRUE",-0.0318259471079476,4,1,FALSE,"6","FALSE","FALSE"
"143","Comm","5",1,37,"romiva","nezuve","4","TRUE",0.106037018626812,2,1,TRUE,"8","FALSE","FALSE"
"144","Comm","5",1,39,"neruporo","romive","10","FALSE",-0.0373715184199863,2,1,TRUE,"4","FALSE","FALSE"
"145","Comm","5",1,46,"romive","romiver","10","FALSE",-0.00602365236353286,1,1,FALSE,"10","TRUE","TRUE"
"146","Comm","5",1,47,"neruzeje","romiaz","2","TRUE",-0.103900428967442,1,1,TRUE,"8","FALSE","FALSE"
"147","Comm","5",1,48,"romive","neruver","1","TRUE",-0.00676358632115459,1,1,FALSE,"10","FALSE","FALSE"
"148","Comm","5",2,7,"romiaz","nezurejee","2","TRUE",0.11287544601896,3,1,FALSE,"11","FALSE","FALSE"
"149","Comm","5",2,16,"romiva","neruje","7","FALSE",-0.107540803918161,2,2,FALSE,"4","FALSE","FALSE"
"150","Comm","5",2,20,"romiva","nuveru","1","TRUE",0.00443232120113413,1,1,FALSE,"1","TRUE","TRUE"
"151","Comm","5",2,21,"romiaz","nezureje","5","TRUE",0.111446001754373,3,2,FALSE,"0","FALSE","TRUE"
"152","Comm","5",3,8,"neruzeje","neuzeje","2","TRUE",0.0194408805138604,1,1,FALSE,"2","TRUE","TRUE"
"153","Comm","5",3,10,"romiba","romi","6","FALSE",-0.0387804161720493,9,2,FALSE,"7","FALSE","TRUE"
"154","Comm","5",4,18,"romive","romibe","10","FALSE",0.0392776730461155,3,2,TRUE,"10","TRUE","TRUE"
"155","Comm","5",4,26,"neruzeje","neruseje","8","FALSE",0.0542926662960239,1,1,TRUE,"5","FALSE","FALSE"
"156","Comm","5",4,30,"romiva","rremuva","0","TRUE",-0.0289894445297749,1,1,TRUE,"0","TRUE","TRUE"
"157","Comm","5",4,31,"romive","romuve","1","TRUE",-0.0402188953091587,1,1,FALSE,"4","FALSE","TRUE"
"158","Comm","5",4,32,"romiva","remuva","3","TRUE",-0.0289894445297749,2,1,TRUE,"0","FALSE","TRUE"
"159","Comm","5",4,34,"romiba","remuba","9","FALSE",0.026442013638257,4,2,TRUE,"9","TRUE","TRUE"
"160","Comm","5",4,36,"romive","remuve","4","TRUE",-0.0201401576426461,4,2,TRUE,"1","FALSE","TRUE"
"161","Comm","5",4,40,"romiba","remuuba","6","FALSE",0.026221883612477,1,1,TRUE,"9","FALSE","TRUE"
"162","Comm","5",4,46,"romuve","remuvec","1","TRUE",0.0238194340364295,1,1,TRUE,"3","FALSE","TRUE"
"163","Comm","5",5,6,"neruseje","zureje","8","FALSE",-0.0770126275967264,6,2,FALSE,"10","FALSE","TRUE"
"164","Comm","5",5,8,"remuve","zurejee","11","FALSE",-0.215596821159699,2,1,FALSE,"3","FALSE","FALSE"
"165","Comm","5",5,10,"remuva","remua","3","TRUE",0.000825323196416594,2,1,FALSE,"7","FALSE","FALSE"
"166","Comm","5",5,17,"neruzeje","remubaa","5","TRUE",-0.237625021417701,1,1,FALSE,"7","FALSE","FALSE"
"167","Comm","5",5,22,"remubaa","zunejee","5","TRUE",0.278642331910824,1,1,FALSE,"5","TRUE","TRUE"
"168","Comm","5",5,23,"remuba","remuvee","7","FALSE",-0.0466847611584584,7,3,TRUE,"1","FALSE","FALSE"
"169","Comm","5",5,32,"zureje","zueje","8","FALSE",-0.0334467470826114,1,1,TRUE,"8","TRUE","TRUE"
"170","Comm","5",5,34,"remuve","remuvaa","3","TRUE",-0.0210361289398278,2,1,TRUE,"10","FALSE","FALSE"
"171","Comm","5",5,36,"remuve","vremuve","1","TRUE",0,2,1,FALSE,"9","FALSE","FALSE"
"172","Comm","5",5,47,"remuvaa","renuva","3","TRUE",0.00204718297393036,1,1,FALSE,"8","FALSE","FALSE"
"173","Comm","5",6,2,"remuve","vremuvaa","4","TRUE",-0.0210361289398278,7,4,TRUE,"4","TRUE","TRUE"
"174","Comm","5",6,3,"zureje","zeaje","11","FALSE",0.0273138153675765,1,1,FALSE,"2","FALSE","FALSE"
"175","Comm","5",6,8,"vremuve","vremuva","10","FALSE",0.0210361289398278,1,1,FALSE,"4","FALSE","FALSE"
"176","Comm","5",6,11,"zueje","reaje","8","FALSE",0.155953423225167,1,1,FALSE,"2","FALSE","FALSE"
"177","Comm","5",6,22,"vremuve","vremuba","7","FALSE",0.0472665108549415,4,3,TRUE,"7","TRUE","TRUE"
"178","Comm","5",6,41,"vremuba","vremubaa","10","FALSE",0,1,1,FALSE,"10","TRUE","TRUE"
"179","Learn","1",1,5,"faludelu","filudelu","9","FALSE",-0.0793298060755272,1,1,FALSE,"9","TRUE","TRUE"
"180","Learn","1",1,9,"neroro","tilu","7","FALSE",-0.0659022863381344,1,1,FALSE,"4","FALSE","FALSE"
"181","Learn","1",1,15,"kemusije","fukebona","3","TRUE",-0.218904266857092,1,1,FALSE,"8","FALSE","FALSE"
"182","Learn","1",1,17,"sitobuna","temusije","0","TRUE",0.172707067382142,1,1,FALSE,"3","FALSE","TRUE"
"183","Learn","1",1,31,"kipe","kopo","11","FALSE",0.0972330826116981,1,1,TRUE,"8","FALSE","TRUE"
"184","Learn","1",1,33,"kemusije","quemusije","3","TRUE",-0.120433977517937,1,1,TRUE,"3","TRUE","TRUE"
"185","Learn","1",1,41,"temusije","tukebona","0","TRUE",-0.0849183767259474,1,1,TRUE,"0","TRUE","TRUE"
"186","Learn","1",1,45,"doje","doze","5","TRUE",-0.0410153036830865,1,1,TRUE,"5","TRUE","TRUE"
"187","Learn","1",2,3,"faludelu","tuquebana","9","FALSE",-0.0445581453444359,1,1,FALSE,"0","FALSE","FALSE"
"188","Learn","1",2,17,"romiba","piza","4","TRUE",0.155778726928792,1,1,FALSE,"1","FALSE","TRUE"
"189","Learn","1",2,35,"neroro","paludelu","10","FALSE",0.0162642870670702,1,1,TRUE,"9","FALSE","TRUE"
"190","Learn","1",2,37,"tukebona","tuquebona","0","TRUE",-0.139696458485167,1,1,TRUE,"0","TRUE","TRUE"
"191","Learn","1",2,39,"piza","remuru","4","TRUE",-0.134346356779096,1,1,TRUE,"4","TRUE","TRUE"
"192","Learn","1",2,41,"pilu","lea","1","TRUE",-0.0591508343557905,1,1,TRUE,"0","FALSE","TRUE"
"193","Learn","1",2,43,"neroro","neruru","7","FALSE",-0.0382230215540584,1,1,TRUE,"7","TRUE","TRUE"
"194","Learn","1",3,15,"paludelu","lie","10","FALSE",-0.0905220178458976,1,1,FALSE,"5","FALSE","FALSE"
"195","Learn","1",3,29,"lie","fadulelu","10","FALSE",0.0920625806293938,1,1,FALSE,"9","FALSE","TRUE"
"196","Learn","1",4,11,"romiba","falulepa","9","FALSE",0.0242406586975306,1,1,FALSE,"3","FALSE","FALSE"
"197","Learn","1",4,23,"romiba","romobila","4","TRUE",-0.0334057345373111,1,1,FALSE,"4","TRUE","TRUE"
"198","Learn","1",5,17,"neruru","klipe","5","TRUE",0.172137137571956,2,1,FALSE,"2","FALSE","TRUE"
"199","Learn","1",5,23,"quemusije","quesimuje","0","TRUE",0.0122673415985801,3,2,TRUE,"0","TRUE","TRUE"
"200","Learn","1",5,41,"kipe","kiper","2","TRUE",-0.0275153443696983,1,1,TRUE,"2","TRUE","TRUE"
"201","Learn","2",1,1,"tezadu","doja","4","TRUE",0.00253853222803269,2,1,FALSE,"11","FALSE","FALSE"
"202","Learn","2",1,3,"sitobuna","ziso","3","TRUE",0.112703699279196,1,1,FALSE,"5","FALSE","TRUE"
"203","Learn","2",1,5,"neroro","falodelu","10","FALSE",0.0349085459435341,5,1,FALSE,"9","FALSE","TRUE"
"204","Learn","2",1,7,"kemusije","zipo","6","FALSE",0.191551629666986,3,1,FALSE,"0","FALSE","FALSE"
"205","Learn","2",1,19,"timajeba","rimba","2","TRUE",-0.144018219606417,7,1,FALSE,"1","FALSE","TRUE"
"206","Learn","2",1,21,"romiba","sizo","1","TRUE",0.163323178358898,1,1,FALSE,"3","FALSE","TRUE"
"207","Learn","2",1,39,"sitobuna","zisu","3","TRUE",0.129915538002157,1,1,TRUE,"5","FALSE","TRUE"
"208","Learn","2",2,25,"falodelu","falodea","6","FALSE",-0.00590255925022776,1,1,TRUE,"6","TRUE","TRUE"
"209","Learn","2",2,33,"rimba","riba","4","TRUE",0.00446957730087849,1,1,TRUE,"4","TRUE","TRUE"
"210","Learn","2",2,41,"rimba","faladea","0","TRUE",-0.0570855481614179,2,1,TRUE,"6","FALSE","FALSE"
"211","Learn","2",3,3,"riba","rib","4","TRUE",0.0157899296313224,1,1,FALSE,"4","TRUE","TRUE"
"212","Learn","2",3,21,"falodea","aladea","6","FALSE",-0.0163024524866202,1,1,FALSE,"9","FALSE","TRUE"
"213","Learn","2",3,29,"zisu","rmba","5","TRUE",-0.207066600426341,1,1,TRUE,"5","TRUE","TRUE"
"214","Learn","2",4,29,"pilu","piu","1","TRUE",0.05018550703265,1,1,TRUE,"1","TRUE","TRUE"
"215","Learn","2",5,7,"rimba","zimba","11","FALSE",-0.0970392105360771,3,2,TRUE,"11","TRUE","TRUE"
"216","Learn","2",5,39,"faladea","paladea","6","FALSE",-0.0116979294582142,1,1,TRUE,"6","TRUE","TRUE"
"217","Learn","2",5,45,"falodea","falabea","3","TRUE",-0.00833715622724585,1,1,TRUE,"9","FALSE","FALSE"
"218","Learn","3",1,15,"romiba","n","8","FALSE",-0.0531351230034169,1,1,FALSE,"2","FALSE","FALSE"
"219","Learn","3",1,25,"sitobuna","k","11","FALSE",-0.147066993412223,2,1,TRUE,"7","FALSE","TRUE"
