"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness"
"Communication",3,4,"RoundGreenThick","Redondo","Verde","Grueso",258,"romibe",2.875
"Communication",3,4,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruzejee",5.8
"Communication",3,5,"SpikyRed","Picudo","Rojo","Fino",147,"remuba",2.466666667
"Communication",3,5,"SpikyGreen","Picudo","Verde","Fino",157,"remuve",3.066666667
"Communication",3,5,"SpikyBlue","Picudo","Azul","Fino",167,"remuva",3.533333333
"Communication",3,5,"SpikyRedThick","Picudo","Rojo","Grueso",148,"remuvaa",3.375
"Communication",3,5,"SpikyGreenThick","Picudo","Verde","Grueso",158,"remuve",3.066666667
"Communication",3,5,"SpikyBlueThick","Picudo","Azul","Grueso",168,"zureje",5.733333333
"Communication",3,5,"RoundRed","Redondo","Rojo","Fino",247,"remuba",2.466666667
"Communication",3,5,"RoundGreen","Redondo","Verde","Fino",257,"remuvee",3.266666667
"Communication",3,5,"RoundBlue","Redondo","Azul","Fino",267,"zueje",5.6875
"Communication",3,5,"RoundRedThick","Redondo","Rojo","Grueso",248,"remuba",2.466666667
"Communication",3,5,"RoundGreenThick","Redondo","Verde","Grueso",258,"remuvee",3.266666667
"Communication",3,5,"RoundBlueThick","Redondo","Azul","Grueso",268,"zureje",5.733333333
"Communication",3,6,"SpikyRed","Picudo","Rojo","Fino",147,"remuva",3.533333333
"Communication",3,6,"SpikyGreen","Picudo","Verde","Fino",157,"vremuvaa",3.266666667
"Communication",3,6,"SpikyBlue","Picudo","Azul","Fino",167,"zureje",5.733333333
"Communication",3,6,"SpikyRedThick","Picudo","Rojo","Grueso",148,"remuvaa",3.375
"Communication",3,6,"SpikyGreenThick","Picudo","Verde","Grueso",158,"vremuvaa",3.266666667
"Communication",3,6,"SpikyBlueThick","Picudo","Azul","Grueso",168,"zureje",5.733333333
"Communication",3,6,"RoundRed","Redondo","Rojo","Fino",247,"remuba",2.466666667
